001 | Product Management Business Report | PawPaw Power | imgs=1 | caps=Game title and main menu screenshot | text=A 16-bit calico cat platformer with retro gameplay, boss battles, collectibles, and scenario-based level design. Portfolio Case Study Original Game Project Cyberpunk Business Report Theme | visual=Game title and main menu screenshot
012 | 03 | Product Vision | imgs=1 | caps=Final tower visual identity screenshot | text=The long-term vision is a polished retro adventure that feels approachable on the first screen and skillful by the final boss. PawPaw should feel expressive, readable, and responsive, with every animation and sound cue reinforcing the player's understanding of what just happened. The calico identity matters because it gives the project an immediate emotional hook. Cat food, fishbones, cardboard boxes, cat doors, drains, rooftops, and tower bosses create a playful design language that supports both mechanics and worldbuilding. The 16-bit pixel style keeps the scope controlled while giving the game a strong visual signature. Level variety keeps the campaign from becoming one repeated platforming challenge. | visual=Final tower visual identity screenshot
013 | 04 | Product Strategy | imgs=0 | caps= | text=The strategy is to focus on a tight, portfolio-ready slice of a complete game. The project does not attempt fake market claims or monetization. Instead, it emphasizes product clarity, end-to-end feature completeness, onboarding, and polish. Positioning Original retro cat platformer with full campaign flow and PM case study documentation. Core Promise A player can learn, progress, improve, and complete a full boss-driven adventure. Feature Depth Each mechanic has player feedback, scoring, audio, and UI support. Replayability Secrets, score chasing, hidden paths, and faster clears reward repeat play. | visual=PawPaw Power Core Play run, jump, throw Progression levels, bosses, unlocks Reward cat food, secrets, score Systems audio, HUD, saves Polish particles, shake, animation
014 | 04 | Design Pillars | imgs=1 | caps=Tutorial knowledge boards preview later level elements | text=The product strategy is organized around five design pillars. These pillars give the project a decision framework for gameplay, scope, UI, and polish. Pillar Product Meaning Design Expression Responsive Controls should feel immediate and fair. Coyote time, jump buffer, acceleration, landing effects. Readable Players should understand hazards and goals. HUD, signs, icons, boss HP, tutorial gates. Cat-themed Every core object should support the identity. Cat food, fishbones, boxes, cat doors, paw gates. Varied Each level should change the scenario. Traffic, rooftops, river, tower, chase, boss arenas. Complete The project should feel finished. Menus, saves, audio, game over, win, report, roadmap. | visual=Tutorial knowledge boards preview later level elements
015 | 04 | Portfolio Value Strategy | imgs=0 | caps= | text=For a Product Manager portfolio, PawPaw Power demonstrates more than gameplay. It shows feature scoping, user onboarding, requirements documentation, progression design, prioritization, success metrics, risk management, technical collaboration, and release-quality packaging. The report itself is part of the product artifact set. It translates the game into a business-readable case study grounded in the implemented product, its user experience, and its technical delivery. | visual=TUTORIAL COMPLETION Target 85%+ Players understand core controls and gates. BOSS DEFEAT RATE Target 60%+ Bosses are challenging but readable. SECRET DISCOVERY Target 25%+ Exploration rewards are visible and tempting. FISHBONE USAGE Target 5+/level Projectile mechanic remains meaningful. FPS STABILITY Target 55-60 Desktop browser performance remains smooth. BUG COUNT Trend down QA pass closes high-severity blockers.
016 | 05 | Product Goals | imgs=1 | caps=Tutorial onboarding and visual guidance | text=The product goals translate the vision into observable design outcomes. Responsive Movement Run and jump should feel arcade-like, smooth, and forgiving. Distinct Levels Each world introduces a scenario shift and visual identity. Meaningful Throwing Fishbones should matter in enemy fights and boss windows. Readable UI HUD should communicate status without overwhelming the player. Rewarding Collection Food trails guide routes, secrets, and score chasing. Portfolio Polish The game should be visually presentable and structurally documented. | visual=Tutorial onboarding and visual guidance
017 | 05 | Goal Measurement Model | imgs=1 | caps=Power-up tutorial section screenshot | text=Each product goal can be translated into a measurable or reviewable signal. These signals guide QA, iteration, and future playtesting. Goal Signal Review Method Movement feels responsive Low missed-input complaints; smooth jump recovery. Keyboard playtest and death-location review. Levels feel distinct Players can identify level scenario from one screenshot. Visual review and route map review. Fishbone matters Players use Space in boss fights and enemy encounters. Usage counter or observation. Power-ups are clear Players understand color and effect quickly. Tutorial completion and HUD review. Replayability exists Secrets and score invite repeat attempts. Secret discovery and score variance. | visual=Power-up tutorial section screenshot
018 | SECTION DIVIDER | Users and Experience | imgs=0 | caps= | text=Personas, journey mapping, controls, gameplay loop, and player-facing feedback. | visual=
019 | 06 | Target Users and Personas | imgs=4 | caps=Cute hero / Safe progress / Completion / Challenge | text=The personas below are project-facing product personas, not market research. They help clarify expected needs and review contexts. Casual Retro Player Wants quick learning, clear feedback, and a charming character. Platformer Fan Looks for responsive movement, fair challenge, secrets, and boss mastery. Student Evaluator Needs to see scope, implementation clarity, and learning outcomes. Portfolio Reviewer Looks for end-to-end product thinking and polished delivery. | visual=Cute hero Safe progress Completion Challenge
020 | 06 | Persona Detail: Casual Retro Player | imgs=1 | caps=Interactive tutorial start for casual onboarding | text=Profile: Player who enjoys lightweight browser games and nostalgic visuals. Motivation: Have fun quickly without reading a long manual. Pain points: Confusing controls, harsh difficulty spikes, unclear hazards. Expectations: Clear controls, easy first level, visible rewards, forgiving tutorial. Product response: Level 0 teaches every major mechanic with gates, icons, signs, and checkmarks. | visual=Interactive tutorial start for casual onboarding
021 | 06 | Persona Detail: Platformer Fan | imgs=1 | caps=Rooftop traversal challenge for skilled platformer players | text=Profile: Player who understands platformer conventions and wants skill expression. Motivation: Master movement, find secrets, beat bosses, improve completion time. Pain points: floaty movement, repetitive levels, bosses without readable patterns. Expectations: Coyote time, tight physics, varied hazards, fair boss openings. Product response: Scenario-based levels, boss HP bars, fishbone weak-point windows, and replayable secret routes. | visual=Rooftop traversal challenge for skilled platformer players
022 | 06 | Persona Detail: Portfolio Reviewer | imgs=1 | caps=Progression screen used as portfolio evidence | text=Profile: Hiring manager, product leader, instructor, or project reviewer. Motivation: Evaluate product thinking, prioritization, execution, and communication. Pain points: Projects that look unfinished, lack documentation, or do not connect features to user value. Expectations: Clear product narrative, complete flow, measurable goals, technical architecture, and QA plan. Product response: This report frames the game as an end-to-end product case study with structured PM artifacts. | visual=Progression screen used as portfolio evidence
023 | 07 | User Journey Map | imgs=4 | caps=Opening and menu orientation / Tutorial learning stage / Boss mastery stage / Completion and reward stage | text=The journey follows the player from first impression to mastery and replay. OPEN GAME Curiosity MAIN MENU Orientation TUTORIAL Learning COLLECT Reward THROW Challenge BOSS Mastery UNLOCK Progress REPLAY Replay | visual=Opening and menu orientation Tutorial learning stage Boss mastery stage Completion and reward stage
024 | 07 | Journey Opportunities | imgs=4 | caps=Onboarding opportunity / Exploration opportunity / Challenge clarity opportunity / Progression opportunity | text=Journey mapping exposes design opportunities. PawPaw Power addresses onboarding risk through Level 0, challenge clarity through boss HP and attack windows, and replay motivation through secrets, score, and hidden paths. Stage User Need Product Response Curiosity Understand identity quickly. Title screen, calico cat, bright retro world. Learning Practice safely. Tutorial signs, gates, checklist, checkmarks. Challenge Know why failure happened. Hazard visuals, respawn, invincibility blink. Reward Feel progress. Food, score, power-ups, boss defeat, unlock. Replay Have optional mastery goals. Secrets, shortcut paths, score, faster completion. | visual=Onboarding opportunity Exploration opportunity Challenge clarity opportunity Progression opportunity
025 | 08 | Core Gameplay Loop | imgs=4 | caps=Move, collect, and avoid / Explore and find secrets / Boss fight gate / Next level progression | text=The core loop is designed to repeat inside each level while escalating from movement to challenge to reward. Start level -> Move forward -> Collect -> Avoid -> Attack -> Explore -> Checkpoint -> Boss fight -> Level complete -> Next level | visual=Move, collect, and avoid Explore and find secrets Boss fight gate Next level progression
026 | 08 | Loop Feedback Model | imgs=1 | caps=Boss training loop screenshot | text=Each loop stage has an input, risk, reward, and feedback layer. Stage Player Action Risk Reward / Feedback Move Left/Right and Up Pits and platforms Camera follow, animation, landing burst Collect Route through food trails Risky paths Score, sound, particles Attack Space throw or stomp Enemy contact Defeat animation, score, impact burst Explore Enter tunnels and search blocks Optional challenge Secrets, bonus score, shortcuts Boss Dodge, throw, jump Boss attacks HP reduction, stun, level unlock | visual=Boss training loop screenshot
027 | 09 | Game Controls | imgs=1 | caps=Controls panel screenshot | text=The control scheme is intentionally simple. Up Arrow focuses jump behavior, while Space gives fishbone throwing a dedicated action. This separation makes boss fights readable because movement and attack decisions are distinct. LEFT move RIGHT move UP jump SPACE throw fishbone P pause M mute ESC back / pause | visual=Controls panel screenshot
028 | 09 | Control Design Rationale | imgs=3 | caps=Jump / Throw / Upgraded fishbone | text=Up Arrow is used for jumping because it fits keyboard platformer expectations and keeps the player's right hand free for Space. Space is reserved for fishbones because projectile timing is central to bosses, enemy safety, and the silver projectile upgrade. Movement Left and Right maintain classic side-scroller familiarity. Jump Up Arrow supports jump buffering, coyote time, double jump, and landing feedback. Throw Space creates an intentional attack action with cooldown and range. System Keys P, M, and Esc support pause, mute, and menu control without cluttering gameplay. | visual=Jump Throw Upgraded fishbone
029 | SECTION DIVIDER | Gameplay Systems | imgs=0 | caps= | text=Character design, mechanics, projectiles, collectibles, power-ups, levels, bosses, enemies, hazards, and feedback. | visual=
030 | 10 | Main Character Design | imgs=5 | caps=Idle / Run / Jump / Fall / Shield | text=PawPaw is the playable calico cat hero. The character design uses white, orange, and black patch-like pixels to make the hero readable at small scale and immediately distinct from enemies and pickups. Personality is expressed through cute proportions, blinking idle animation, quick running frames, airborne poses, shield glow, power-up tint, and invincibility blinking. | visual=Idle Run Jump Fall Shield
031 | 10 | Character State Sheet | imgs=1 | caps=Power-up feedback shown in tutorial | text=Animation and feedback states support player comprehension. PawPaw communicates what is happening through sprite pose, tint, aura, blinking, and particles. State Purpose Feedback Idle Resting / ready state Blinking face and stable posture Walking Low speed motion Run frames at lower velocity Running Full movement speed Fast run animation Jumping Upward air state Jump pose and sound cue Falling Downward air state Fall pose Throwing Projectile action Fishbone spawn and burst Invincible Post-damage safety Blinking alpha Powered-up Temporary ability Tint or aura | visual=Power-up feedback shown in tutorial
032 | 11 | Gameplay Mechanics Overview | imgs=1 | caps=Core platforming mechanics in action | text=The game combines familiar platforming with cat-themed mechanics. The important PM choice is that every mechanic is connected to feedback, reward, UI, or level design. Running Acceleration and deceleration create arcade feel without making the cat slippery. Jumping Coyote time and buffering make jumps forgiving and skillful. Fishbones A ranged action that supports enemy safety and boss weak points. Checkpoints Reduce frustration and support harder late-level sections. | visual=Core platforming mechanics in action
033 | 11 | Running and Acceleration | imgs=1 | caps=Running and Acceleration screenshot | text=Running builds momentum through acceleration and settles through deceleration. The player benefit is responsive motion that still has arcade weight. Mechanic Implementation Summary Player Benefit Input handling Keyboard state drives movement and action. Predictable desktop control. Physics Arcade bodies and colliders resolve platforms and hazards. Readable interactions. Feedback Sound, particles, camera shake, and UI messages respond to actions. Confidence and game feel. | visual=Running and Acceleration screenshot
034 | 11 | Jumping, Coyote Time, and Buffering | imgs=1 | caps=Jumping, Coyote Time, and Buffering screenshot | text=Jumping uses coyote time to forgive late jumps after leaving a platform and jump buffering to accept input just before landing. Mechanic Implementation Summary Player Benefit Input handling Keyboard state drives movement and action. Predictable desktop control. Physics Arcade bodies and colliders resolve platforms and hazards. Readable interactions. Feedback Sound, particles, camera shake, and UI messages respond to actions. Confidence and game feel. | visual=Jumping, Coyote Time, and Buffering screenshot
035 | 11 | Landing and Platform Collision | imgs=1 | caps=Landing and Platform Collision screenshot | text=Landing feedback helps players understand safe contact. Platforms include static, moving, falling, disappearing, rooftop, river, and safe-island forms. Mechanic Implementation Summary Player Benefit Input handling Keyboard state drives movement and action. Predictable desktop control. Physics Arcade bodies and colliders resolve platforms and hazards. Readable interactions. Feedback Sound, particles, camera shake, and UI messages respond to actions. Confidence and game feel. | visual=Landing and Platform Collision screenshot
036 | 11 | Invincibility Frames and Damage | imgs=1 | caps=Invincibility Frames and Damage screenshot | text=After damage or respawn, the cat blinks briefly. This gives the player time to recover without repeated unfair hits. Mechanic Implementation Summary Player Benefit Input handling Keyboard state drives movement and action. Predictable desktop control. Physics Arcade bodies and colliders resolve platforms and hazards. Readable interactions. Feedback Sound, particles, camera shake, and UI messages respond to actions. Confidence and game feel. | visual=Invincibility Frames and Damage screenshot
037 | 11 | Checkpoints, Lives, and Timer | imgs=1 | caps=Checkpoints, Lives, and Timer screenshot | text=Checkpoints reduce frustration, lives create stakes, and the timer encourages forward motion and replay mastery. Mechanic Implementation Summary Player Benefit Input handling Keyboard state drives movement and action. Predictable desktop control. Physics Arcade bodies and colliders resolve platforms and hazards. Readable interactions. Feedback Sound, particles, camera shake, and UI messages respond to actions. Confidence and game feel. | visual=Checkpoints, Lives, and Timer screenshot
038 | 11 | Score and Reward Logic | imgs=1 | caps=Score and Reward Logic screenshot | text=Score rewards food, enemies, boss hits, secrets, level completion, and remaining time. The system supports both casual play and score chasing. Mechanic Implementation Summary Player Benefit Input handling Keyboard state drives movement and action. Predictable desktop control. Physics Arcade bodies and colliders resolve platforms and hazards. Readable interactions. Feedback Sound, particles, camera shake, and UI messages respond to actions. Confidence and game feel. | visual=Score and Reward Logic screenshot
039 | 12 | Fishbone Projectile System | imgs=3 | caps=Normal fishbone / Silver upgraded fishbone / Boss projectile | text=Space triggers fishbone throwing. The projectile travels forward based on facing direction, has limited range, uses a cooldown, and disappears on impact with walls, blocks, enemies, or bosses. Space key -> Check cooldown -> Spawn fishbone -> Travel forward -> Hit target -> Impact burst -> Cooldown UI | visual=Normal fishbone Silver upgraded fishbone Boss projectile
040 | 12 | Fishbone Boss Interaction | imgs=1 | caps=Fishbone weak-point training boss screenshot | text=Fishbones are required in boss fights because they create safe damage opportunities and can open weak points. The tutorial boss specifically teaches that fishbones open the weak spot, but the player must jump on the weak point to finish the fight. Rule Purpose Forward travel Makes facing direction meaningful. Cooldown Prevents spam and creates timing. Limited range Encourages positioning. Boss hit reaction Communicates successful timing. Silver upgrade Creates temporary power spike. | visual=Fishbone weak-point training boss screenshot
041 | 13 | Collectibles System | imgs=6 | caps=Pink food / Cyan secret food / Orange hidden food / Gold bonus food / Green life food / Collectible trail in gameplay | text=Cat food replaces coins and becomes the main collection language. Trails guide jumps, safe routes, secrets, and risky optional paths. Pink food Cyan secret food Orange hidden food Gold bonus food Green life food | visual=Collectible trail in gameplay
042 | 13 | Collectible Design Role | imgs=1 | caps=Secret collection route screenshot | text=Collectibles serve four product functions: instruction, reward, exploration, and replay. A food trail can show the ideal jump arc; a hidden cluster can teach curiosity; a risky trail can invite mastery. Function How It Appears Product Value Guidance Food trails over jumps and platforms. Reduces confusion without text. Reward Food increases score and food count. Creates frequent positive feedback. Exploration Hidden clusters in secret rooms. Supports replayability. Progress Food gates in tutorial. Teaches collection through gameplay. | visual=Secret collection route screenshot
043 | 14 | Power-Up System | imgs=6 | caps=Speed / Shield / Double / Bone+ / Life / Bonus | text=Power-ups are colored cat food with clear visual meaning, sound cues, HUD communication, and temporary or permanent gameplay effects. Power-Up Color Ability Purpose Speed boost Red Temporary speed increase Movement mastery and faster routes Shield Blue One-hit protection Risk management and hazard learning Double jump Purple Temporary second jump Vertical routes and recovery Bonus Gold Large score reward Exploration and score chasing Extra life Green Adds one life Rare high-value reward Projectile upgrade Silver Stronger fishbones Boss and enemy advantage | visual=Speed Shield Double Bone+ Life Bonus
044 | 14 | Power-Up UX Requirements | imgs=1 | caps=Power-up training section screenshot | text=A power-up is only successful if the player understands what changed. PawPaw Power uses color, sound, HUD labels, tint effects, shield aura, and tutorial checklist objectives to teach each ability. Color Color communicates ability family at a glance. Sound Distinct sound reinforces pickup success. HUD Active power indicator confirms the current state. Visual Effect Tint or shield aura confirms moment-to-moment status. | visual=Power-up training section screenshot
045 | 15 | Level Design Overview | imgs=1 | caps=Five main levels plus tutorial in level select | text=The main campaign contains exactly five levels. There are no Level 6-10 entries. Every level is scenario-based and ends with a required boss fight. Level 1 Grassland -> Level 2 City -> Level 3 Rooftops -> Level 4 River -> Level 5 Cat Tower | visual=Five main levels plus tutorial in level select
046 | 15 | Level Progression Map | imgs=5 | caps=Level 1: grassland / Level 2: city / Level 3: rooftops / Level 4: river / Level 5: tower | text=The progression model escalates player skill from basic movement to timing, verticality, moving water routes, and final tower pressure. Level Scenario Difficulty Focus Boss 1. Sunny Grassland Tutorial Classic platforming, mystery blocks, first boss grass Grumpy Garden Mole 2. City Crossroad Dash Road crossing, traffic patterns, safe islands city Traffic Rat Rider 3. Rooftop Building Leap Building gaps, vertical climb, lifts, falling signs rooftop Rooftop Crow 4. River and Bridge Crossing River crossing, boats, logs, broken bridges river River Croc 5. Night Cat Tower Final Final climb, lava, chase, hidden route, multi-phase boss castle Shadow Cat King | visual=Level 1: grassland Level 2: city Level 3: rooftops Level 4: river Level 5: tower
047 | 17 | Level 1 - Sunny Grassland Tutorial | imgs=1 | caps=Level 1 gameplay screenshot | text=Classic platforming, mystery blocks, first boss. This level shifts the player's primary challenge while preserving the core loop of movement, collection, hazard avoidance, enemy interaction, and boss completion. Design Area Implementation Biome grass Timer 280 seconds Width 4300 world units Boss Grumpy Garden Mole Checkpoint x 2180 | visual=Level 1 gameplay screenshot
048 | 17 | Level 1 Layout and Objectives | imgs=0 | caps= | text=The level map below abstracts the route for product review. Cyan blocks show platforms, pink blocks show hazards, yellow marks the checkpoint, and the purple region marks the boss arena. 1 - Grass | visual=Objective Reach and defeat Grumpy Garden Mole. Player Skill Basic movement and block learning. Reward Score, boss completion, level unlock, and campaign progress.
049 | 18 | Level 2 - City Crossroad Dash | imgs=1 | caps=Level 2 gameplay screenshot | text=Road crossing, traffic patterns, safe islands. This level shifts the player's primary challenge while preserving the core loop of movement, collection, hazard avoidance, enemy interaction, and boss completion. Design Area Implementation Biome city Timer 300 seconds Width 5200 world units Boss Traffic Rat Rider Checkpoint x 2600 | visual=Level 2 gameplay screenshot
050 | 18 | Level 2 Layout and Objectives | imgs=0 | caps= | text=The level map below abstracts the route for product review. Cyan blocks show platforms, pink blocks show hazards, yellow marks the checkpoint, and the purple region marks the boss arena. 2 - City | visual=Objective Reach and defeat Traffic Rat Rider. Player Skill Traffic timing. Reward Score, boss completion, level unlock, and campaign progress.
051 | 19 | Level 3 - Rooftop Building Leap | imgs=1 | caps=Level 3 gameplay screenshot | text=Building gaps, vertical climb, lifts, falling signs. This level shifts the player's primary challenge while preserving the core loop of movement, collection, hazard avoidance, enemy interaction, and boss completion. Design Area Implementation Biome rooftop Timer 320 seconds Width 5600 world units Boss Rooftop Crow Checkpoint x 2960 | visual=Level 3 gameplay screenshot
052 | 19 | Level 3 Layout and Objectives | imgs=0 | caps= | text=The level map below abstracts the route for product review. Cyan blocks show platforms, pink blocks show hazards, yellow marks the checkpoint, and the purple region marks the boss arena. 3 - Roof | visual=Objective Reach and defeat Rooftop Crow. Player Skill Rooftop traversal and verticality. Reward Score, boss completion, level unlock, and campaign progress.
053 | 20 | Level 4 - River and Bridge Crossing | imgs=1 | caps=Level 4 gameplay screenshot | text=River crossing, boats, logs, broken bridges. This level shifts the player's primary challenge while preserving the core loop of movement, collection, hazard avoidance, enemy interaction, and boss completion. Design Area Implementation Biome river Timer 340 seconds Width 5900 world units Boss River Croc Checkpoint x 3180 | visual=Level 4 gameplay screenshot
054 | 20 | Level 4 Layout and Objectives | imgs=0 | caps= | text=The level map below abstracts the route for product review. Cyan blocks show platforms, pink blocks show hazards, yellow marks the checkpoint, and the purple region marks the boss arena. 4 - River | visual=Objective Reach and defeat River Croc. Player Skill River platform timing. Reward Score, boss completion, level unlock, and campaign progress.
055 | 21 | Level 5 - Night Cat Tower Final | imgs=1 | caps=Level 5 gameplay screenshot | text=Final climb, lava, chase, hidden route, multi-phase boss. This level shifts the player's primary challenge while preserving the core loop of movement, collection, hazard avoidance, enemy interaction, and boss completion. Design Area Implementation Biome castle Timer 390 seconds Width 6300 world units Boss Shadow Cat King Checkpoint x 4040 | visual=Level 5 gameplay screenshot
056 | 21 | Level 5 Layout and Objectives | imgs=0 | caps= | text=The level map below abstracts the route for product review. Cyan blocks show platforms, pink blocks show hazards, yellow marks the checkpoint, and the purple region marks the boss arena. 5 - Tower | visual=Objective Reach and defeat Shadow Cat King. Player Skill Final hazard mastery. Reward Score, boss completion, level unlock, and campaign progress.
057 | 22 | Boss Fight System | imgs=1 | caps=Final boss arena screenshot | text=Every level ends in a boss arena. Boss fights create progression closure and force the player to combine movement, dodging, fishbone throwing, and timing. Boss appears -> Attack pattern -> Dodge -> Throw fishbone -> Weak point / damage -> HP drops -> Pattern accelerates -> Boss defeated | visual=Final boss arena screenshot
058 | 22 | Boss Fight Rules | imgs=1 | caps=Early boss fight screenshot | text=Rule Product Purpose Visible health bar Shows progress and reduces ambiguity. Unique attack pattern Gives each level a memorable closure. Hit reaction Confirms successful player action. Stun window Creates safe opportunity and rhythm. Increasing difficulty Escalates tension as success nears. Fishbone requirement Makes Space-key mechanic essential. Boss defeat completes level Creates a clear progression gate. | visual=Early boss fight screenshot
059 | 23 | Boss Design - Grumpy Garden Mole | imgs=1 | caps=Grumpy Garden Mole visual card | text=Level 1 boss. Moves left/right, pops out, throws dirt balls, teaches simple fishbone timing. Boss Design Element Role Movement Forces spatial awareness. Projectile pressure Creates dodge timing. Fishbone window Makes Space input meaningful. HP and reaction Shows progress and impact. | visual=Grumpy Garden Mole visual card
